GS,MS,JPM,
168.02,32.24,67.39,
167.03,31.92,66.84,
166.47,31.7,66.46,
166.21,31.6,66.19,
166,31.59,65.82,
168.08,31.95,66.64,
166.16,31.56,66.4,
167,31.46,66.53,
171.06,32.24,67.06,
168.57,31.59,66.65,
171.66,32.04,67.25,
169.67,31.69,67.16,
169.33,31.75,67.44,
169.18,31.89,67.49,
168.51,31.91,67.21,
169.46,32.06,67.5,
169.37,32.19,67.5,
166.87,31.41,66.95,
165.97,31.16,66.22,
165.9,30.97,66.07,
165.3,30.91,65.95,
166.08,30.72,65.77,
166.26,30.6,65.8,
166.23,30.55,65.86,
166.06,30.55,65.95,
165.67,30.37,65.89,
165.65,30.25,65.71,
165.55,29.66,65.72,
163.25,29.17,65.32,
163.86,29.38,65.46,
162.19,29.11,65.28,
163.44,29.34,65.87,
162.83,29.12,66.1,
162.09,29.01,66.3,
158.05,28.28,64.56,
158.34,28.42,64.66,
156.06,28,63.65,
158.18,28.5,63.8,
158.81,28.73,63.97,
160.53,28.86,64.1,
160.99,29.02,64.33,
161.16,29.23,64.13,
160.51,29.13,63.87,
160.41,28.92,64.04,
160.05,28.87,63.69,
161.77,28.78,63.93,
161.41,28.19,63.86,
163.33,28.21,63.96,
161.64,28.01,64.18,
162.54,28,64.12,
157.92,27.16,63.16,
156.92,27.37,63.2,
152.19,26.46,62.27,
150.38,26.37,61.83,
147,25.69,60.58,
145.58,25.15,60.19,
144.45,25,59.55,
148.25,25.92,61.26,
148.58,25.98,62.14,
145.5,25.23,61.2,
142.41,24.61,59.52,
139.51,23.61,57.61,
141.86,24.52,59.6,
152.66,27.29,64.05,
148.14,26.39,62.71,
148.35,26.2,62.95,
147.75,25.9,62.37,
145.64,25.31,62.28,
146.63,25.07,62.22,
146.16,24.72,61.97,
146.19,24.6,62.08,
148.63,25.26,63.27,
149.89,25.54,63.84,
153.17,26.08,64.75,
154.64,26.54,65.25,
155.17,26.52,65.06,
157.06,26.85,65.28,
155.67,26.54,64.64,
159.28,27.28,65.81,
159.97,27.49,65.69,
159.48,27.37,65.27,
159.53,27.53,65.43,
159.22,27.42,65.03,
161.25,27.78,65.52,
157.59,27.41,64.54,
155.45,26.83,63.46,
154.51,26.77,63.51,
154.7,26.61,63.39,
159.94,27.24,64.04,
154.65,26.16,61.66,
155.38,26.21,61.66,
155.34,25.89,61.2,
158.07,26.23,61.77,
159.42,26.36,61.81,
161.42,26.63,62.04,
157.51,26.1,61.21,
158.85,26.25,61.6,
159.53,26.17,61.24,
160.07,26.28,61.57,
163.14,26.89,62.56,
166.18,27.26,63.79,
164.11,27.06,63.2,
164.29,27.23,63.6,
166.92,27.53,64.11,
165.84,27.55,63.93,
165.09,27.53,63.6,
166.75,27.7,63.97,
165.32,27.26,63.6,
166.98,27.41,64.24,
162.65,26.46,63.32,
